<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;W;03/09/18;00:00;0.03933;66889670000
ВТБ ао;W;10/09/18;00:00;0.04005;123904240000
ВТБ ао;W;17/09/18;00:00;0.0422;103150650000
ВТБ ао;W;24/09/18;00:00;0.04076;98450630000
ВТБ ао;W;01/10/18;00:00;0.03958;74841820000
ВТБ ао;W;08/10/18;00:00;0.03795;124236680000
ВТБ ао;W;15/10/18;00:00;0.03689;93271100000
ВТБ ао;W;22/10/18;00:00;0.03574;106281170000
ВТБ ао;W;29/10/18;00:00;0.03613;68283890000
ВТБ ао;W;05/11/18;00:00;0.03757;131011440000
ВТБ ао;W;12/11/18;00:00;0.03916;122393560000
ВТБ ао;W;19/11/18;00:00;0.03706;82650820000
ВТБ ао;W;26/11/18;00:00;0.0373;93504430000
ВТБ ао;W;03/12/18;00:00;0.036555;78573670000
ВТБ ао;W;10/12/18;00:00;0.035995;54305170000
ВТБ ао;W;17/12/18;00:00;0.035245;91086380000
ВТБ ао;W;24/12/18;00:00;0.03385;113643210000
ВТБ ао;W;31/12/18;00:00;0.03462;17622500000
ВТБ ао;W;07/01/19;00:00;0.035185;51172460000
ВТБ ао;W;14/01/19;00:00;0.0371;75097740000
ВТБ ао;W;21/01/19;00:00;0.03696;123912020000
ВТБ ао;W;28/01/19;00:00;0.037915;71483160000
ВТБ ао;W;04/02/19;00:00;0.03713;70216310000
ВТБ ао;W;11/02/19;00:00;0.0366;96716670000
ВТБ ао;W;18/02/19;00:00;0.03608;51953880000
ВТБ ао;W;25/02/19;00:00;0.03603;61054050000
ВТБ ао;W;04/03/19;00:00;0.03522;47879270000
ВТБ ао;W;11/03/19;00:00;0.03739;102227890000
ВТБ ао;W;18/03/19;00:00;0.036;82752480000
ВТБ ао;W;25/03/19;00:00;0.035645;57751630000
ВТБ ао;W;01/04/19;00:00;0.03632;60442440000
ВТБ ао;W;08/04/19;00:00;0.036255;118585830000
ВТБ ао;W;15/04/19;00:00;0.03581;59724510000
ВТБ ао;W;22/04/19;00:00;0.03541;80617700000
ВТБ ао;W;29/04/19;00:00;0.03578;33285030000
ВТБ ао;W;06/05/19;00:00;0.035195;30766480000
ВТБ ао;W;13/05/19;00:00;0.0351;55304810000
ВТБ ао;W;20/05/19;00:00;0.0372;266298630000
ВТБ ао;W;27/05/19;00:00;0.036705;138107430000
ВТБ ао;W;03/06/19;00:00;0.039;196214510000
ВТБ ао;W;10/06/19;00:00;0.04032;141781230000
ВТБ ао;W;17/06/19;00:00;0.0402;117008760000
ВТБ ао;W;24/06/19;00:00;0.03988;97702110000
ВТБ ао;W;01/07/19;00:00;0.041355;157815980000
ВТБ ао;W;08/07/19;00:00;0.044;379685590000
ВТБ ао;W;15/07/19;00:00;0.0424;158424560000
ВТБ ао;W;22/07/19;00:00;0.0427;144287460000
ВТБ ао;W;29/07/19;00:00;0.042015;118793760000
ВТБ ао;W;05/08/19;00:00;0.0406;157132240000
ВТБ ао;W;12/08/19;00:00;0.0381;125727080000
ВТБ ао;W;19/08/19;00:00;0.038105;125772030000
ВТБ ао;W;26/08/19;00:00;0.03868;100153950000
ВТБ ао;W;02/09/19;00:00;0.04195;376458370000
ВТБ ао;W;09/09/19;00:00;0.0425;172388410000
ВТБ ао;W;16/09/19;00:00;0.0424;107629440000
ВТБ ао;W;23/09/19;00:00;0.042695;138702340000
ВТБ ао;W;30/09/19;00:00;0.04075;107654650000
ВТБ ао;W;07/10/19;00:00;0.041925;99263360000
ВТБ ао;W;14/10/19;00:00;0.0428;84026660000
ВТБ ао;W;21/10/19;00:00;0.042985;185218340000
ВТБ ао;W;28/10/19;00:00;0.043145;116632730000
ВТБ ао;W;04/11/19;00:00;0.046;272087730000
ВТБ ао;W;11/11/19;00:00;0.04692;312815330000
ВТБ ао;W;18/11/19;00:00;0.04619;108666600000
ВТБ ао;W;25/11/19;00:00;0.04533;81201110000
ВТБ ао;W;02/12/19;00:00;0.045275;103924840000
